No,Tenth_Percentage,Twelfth_Percentage,College_Tier,Degree,Subjects,UG_Percentage,Internship,Shortlisted_for_Interview,Aptitude_Perc,DS_Alg_Knowledge,Projects,Placed_IT
37,73,79,tier3,BTech,CIVIL,84,No,Yes,35,Intermediate,No,No
38,73,90,tier1,B.E,DS&AI,66,Yes,No,0,Novice,No,No
39,74,96,tier1,B.E,ECE,86,No,Yes,69,Advanced,Yes,No
40,81,87,tier2,B.E,CIVIL,76,No,Yes,61,Advanced,No,No
41,93,59,tier3,B.E,IT,71,No,No,0,Advanced,No,No
42,91,84,tier2,B.E,MECH,93,Ongoing,Yes,40,Novice,No,No
43,68,66,tier3,BTech,EEE,76,No,Yes,53,Intermediate,No,No
44,95,68,tier3,BTech,IT,65,Yes,No,0,Intermediate,No,No
45,80,55,tier3,B.E,EEE,60,No,No,0,Advanced,Yes,No
46,80,80,tier2,B.E,EEE,95,Ongoing,Yes,50,Intermediate,No,No
47,70,92,tier1,B.E,EEE,77,Ongoing,Yes,83,Novice,No,No
48,85,62,tier3,BTech,EEE,70,Ongoing,No,0,Intermediate,Yes,No
49,67,70,tier3,B.E,IT,72,Ongoing,No,0,Advanced,No,No
50,90,96,tier1,BTech,DS&AI,69,Yes,No,0,Advanced,Yes,No
51,66,59,tier3,B.E,CIVIL,63,No,No,0,Novice,No,No
52,87,70,tier3,B.E,IT,73,No,No,0,Advanced,Yes,No
53,89,59,tier3,BTech,CIVIL,87,Yes,Yes,41,Intermediate,Yes,No
54,83,56,tier3,B.E,CSE,85,Yes,Yes,93,Novice,No,No
55,92,57,tier3,B.E,CIVIL,69,No,No,0,Advanced,Yes,No
56,72,82,tier2,B.E,DS&AI,69,No,No,0,Novice,No,No
57,68,73,tier3,B.E,CIVIL,84,No,Yes,67,Advanced,No,No
58,87,57,tier3,BTech,MECH,84,Yes,Yes,84,Novice,No,No
59,77,75,tier3,B.E,ECE,71,Ongoing,No,0,Intermediate,No,No
60,74,61,tier3,BTech,MECH,95,Ongoing,Yes,56,Intermediate,Yes,No
61,85,87,tier2,BTech,CIVIL,81,Yes,Yes,61,Intermediate,No,No
62,93,88,tier2,BTech,ECE,85,Ongoing,Yes,88,Intermediate,Yes,Yes
63,72,63,tier3,B.E,CSE,76,No,Yes,93,Advanced,Yes,No
64,89,77,tier3,B.E,IT,81,No,Yes,46,Intermediate,Yes,No
65,81,73,tier3,BTech,MECH,76,No,Yes,93,Intermediate,Yes,No
66,70,84,tier2,BTech,MECH,91,Yes,Yes,55,Advanced,No,No
67,78,71,tier3,B.E,DS&AI,85,Yes,Yes,76,Intermediate,No,No
68,83,77,tier3,BTech,EEE,71,Ongoing,No,0,Intermediate,Yes,No
69,86,61,tier3,BTech,CIVIL,90,Yes,Yes,47,Advanced,No,No
70,90,75,tier3,B.E,EEE,61,No,No,0,Novice,Yes,No
71,69,83,tier2,B.E,ECE,94,No,Yes,58,Intermediate,Yes,No
72,81,96,tier1,B.E,CSE,76,Ongoing,Yes,45,Advanced,No,No
73,88,63,tier3,BTech,IT,67,Yes,No,0,Novice,Yes,No
74,70,94,tier1,B.E,DS&AI,70,No,No,0,Novice,Yes,No
75,78,81,tier2,B.E,CSE,62,Yes,No,0,Advanced,Yes,No
76,77,58,tier3,BTech,IT,69,Yes,No,0,Novice,Yes,No
77,79,87,tier2,B.E,ECE,86,Ongoing,Yes,41,Novice,No,No
78,87,88,tier2,BTech,IT,85,No,Yes,99,Novice,Yes,No
79,83,62,tier3,B.E,EEE,71,Ongoing,No,0,Novice,Yes,No
80,75,74,tier3,BTech,IT,62,Yes,No,0,Advanced,No,No
81,93,67,tier3,B.E,IT,68,Ongoing,No,0,Intermediate,Yes,No
82,82,78,tier3,BTech,EEE,77,Ongoing,Yes,68,Advanced,No,No
83,66,67,tier3,BTech,DS&AI,71,Ongoing,No,0,Intermediate,No,No
84,72,60,tier3,BTech,CSE,71,No,No,0,Intermediate,Yes,No
85,81,75,tier3,BTech,DS&AI,63,Yes,No,0,Intermediate,Yes,No
86,83,69,tier3,BTech,CSE,95,No,Yes,39,Intermediate,No,No
87,89,70,tier3,BTech,MECH,66,Yes,No,0,Novice,No,No
88,84,76,tier3,B.E,ECE,81,Yes,Yes,64,Advanced,Yes,No
89,94,77,tier3,BTech,CIVIL,61,No,No,0,Novice,No,No
90,79,83,tier2,B.E,EEE,74,Ongoing,No,0,Advanced,No,No
91,67,88,tier2,BTech,IT,85,Ongoing,Yes,78,Intermediate,Yes,No
92,86,63,tier3,B.E,DS&AI,70,Yes,No,0,Advanced,No,No
93,93,62,tier3,B.E,CIVIL,68,No,No,0,Novice,No,No
94,75,81,tier2,BTech,EEE,64,Ongoing,No,0,Intermediate,Yes,No
95,95,69,tier3,BTech,IT,70,Ongoing,No,0,Intermediate,Yes,No
96,85,81,tier2,BTech,ECE,86,No,Yes,62,Novice,No,No
97,96,61,tier3,B.E,ECE,80,No,Yes,65,Novice,No,No
98,92,95,tier1,B.E,CSE,62,No,No,0,Advanced,Yes,No
99,74,93,tier1,B.E,MECH,62,No,No,0,Intermediate,Yes,No
100,78,96,tier1,BTech,IT,92,No,Yes,95,Advanced,Yes,No
101,67,94,tier1,B.E,IT,81,Ongoing,Yes,36,Intermediate,Yes,No
102,71,57,tier3,B.E,DS&AI,85,Yes,Yes,37,Intermediate,No,No
103,86,72,tier3,B.E,EEE,94,Ongoing,Yes,76,Intermediate,Yes,No
104,81,68,tier3,BTech,ECE,65,Ongoing,No,0,Intermediate,No,No
105,72,88,tier2,BTech,ECE,76,Yes,Yes,82,Advanced,No,No
106,82,58,tier3,BTech,ECE,94,No,Yes,58,Advanced,No,No
107,93,62,tier3,B.E,IT,89,Ongoing,Yes,81,Intermediate,Yes,No
108,81,84,tier2,B.E,MECH,79,No,Yes,57,Intermediate,Yes,No
109,88,87,tier2,BTech,EEE,93,Yes,Yes,57,Novice,Yes,No
110,69,71,tier3,BTech,MECH,62,No,No,0,Intermediate,Yes,No
111,97,92,tier1,B.E,MECH,70,Yes,No,0,Advanced,Yes,No
112,90,62,tier3,B.E,IT,61,Yes,No,0,Advanced,Yes,No
113,95,83,tier2,B.E,CSE,83,No,Yes,93,Intermediate,No,No
114,82,79,tier3,B.E,ECE,81,Ongoing,Yes,67,Novice,Yes,No
115,67,81,tier2,B.E,EEE,95,Yes,Yes,87,Novice,No,No
116,74,66,tier3,B.E,DS&AI,71,Yes,No,0,Novice,Yes,No
117,74,78,tier3,B.E,EEE,66,Yes,No,0,Novice,No,No
118,90,96,tier1,BTech,CIVIL,81,No,Yes,45,Intermediate,No,No
119,82,74,tier3,BTech,CIVIL,91,No,Yes,45,Intermediate,Yes,No
120,74,85,tier2,BTech,IT,70,Yes,No,0,Advanced,No,No
121,92,81,tier2,BTech,EEE,66,No,No,0,Advanced,Yes,No
122,90,64,tier3,BTech,CSE,80,Ongoing,Yes,56,Novice,Yes,No
123,69,83,tier2,BTech,IT,86,Yes,Yes,55,Novice,No,No
124,86,87,tier2,B.E,DS&AI,76,Yes,Yes,86,Intermediate,Yes,Yes
125,92,96,tier1,B.E,MECH,85,No,Yes,73,Intermediate,No,No
126,73,71,tier3,B.E,MECH,92,No,Yes,45,Novice,No,No
127,93,92,tier1,BTech,CIVIL,72,No,No,0,Novice,Yes,No
128,94,73,tier3,BTech,MECH,71,No,No,0,Intermediate,No,No
129,83,63,tier3,BTech,CIVIL,78,Ongoing,Yes,85,Intermediate,No,No
130,85,73,tier3,B.E,CSE,89,Ongoing,Yes,87,Novice,Yes,No
131,73,83,tier2,B.E,MECH,64,Yes,No,0,Intermediate,Yes,No
132,67,55,tier3,B.E,IT,95,Yes,Yes,79,Intermediate,Yes,No
133,72,73,tier3,B.E,MECH,75,Ongoing,No,0,Intermediate,No,No
134,73,71,tier3,BTech,CIVIL,67,Yes,No,0,Advanced,Yes,No
135,68,86,tier2,B.E,EEE,82,No,Yes,66,Advanced,No,No
136,91,57,tier3,BTech,ECE,74,Ongoing,No,0,Advanced,Yes,No
137,98,82,tier2,BTech,ECE,61,Yes,No,0,Advanced,Yes,No
138,76,73,tier3,B.E,CIVIL,80,Ongoing,Yes,49,Advanced,Yes,No
139,68,65,tier3,B.E,MECH,85,Ongoing,Yes,92,Intermediate,Yes,Yes
140,80,62,tier3,B.E,MECH,75,Ongoing,No,0,Advanced,Yes,No
141,78,80,tier2,B.E,ECE,66,Yes,No,0,Novice,Yes,No
142,98,91,tier1,BTech,MECH,74,Yes,No,0,Advanced,No,No
143,70,73,tier3,B.E,MECH,93,Yes,Yes,55,Advanced,No,No
144,87,68,tier3,BTech,EEE,60,No,No,0,Novice,Yes,No
145,95,84,tier2,BTech,EEE,92,No,Yes,86,Advanced,Yes,No
146,81,68,tier3,BTech,DS&AI,62,No,No,0,Novice,Yes,No
147,70,84,tier2,B.E,IT,80,Ongoing,Yes,40,Advanced,No,No
148,85,58,tier3,B.E,DS&AI,88,Ongoing,Yes,38,Advanced,Yes,No
149,80,86,tier2,B.E,CIVIL,86,Ongoing,Yes,53,Advanced,No,No
150,66,72,tier3,B.E,CSE,78,No,Yes,42,Intermediate,No,No
151,83,55,tier3,BTech,DS&AI,90,Yes,Yes,52,Novice,No,No
152,98,75,tier3,B.E,IT,85,Yes,Yes,80,Novice,No,No
153,98,73,tier3,B.E,CSE,83,Yes,Yes,51,Novice,No,No
154,82,89,tier2,BTech,CIVIL,95,No,Yes,85,Novice,Yes,No
155,77,60,tier3,B.E,ECE,93,Ongoing,Yes,87,Novice,Yes,No
156,91,69,tier3,BTech,CIVIL,82,No,Yes,35,Intermediate,No,No
157,66,61,tier3,B.E,MECH,78,No,Yes,96,Intermediate,No,No
158,91,90,tier1,BTech,CIVIL,84,Yes,Yes,42,Advanced,Yes,No
159,68,91,tier1,B.E,CIVIL,88,Yes,Yes,99,Novice,No,No
160,75,69,tier3,BTech,MECH,70,Ongoing,No,0,Advanced,Yes,No
161,92,74,tier3,BTech,DS&AI,89,No,Yes,50,Novice,No,No
162,71,55,tier3,B.E,DS&AI,63,Yes,No,0,Intermediate,Yes,No
163,88,80,tier2,BTech,IT,65,Yes,No,0,Advanced,No,No
164,66,69,tier3,B.E,EEE,62,No,No,0,Advanced,Yes,No
165,79,64,tier3,BTech,CSE,74,Yes,No,0,Advanced,No,No
166,83,82,tier2,BTech,MECH,92,No,Yes,42,Advanced,Yes,No
167,95,70,tier3,B.E,MECH,72,Ongoing,No,0,Advanced,No,No
168,90,88,tier2,B.E,DS&AI,81,Yes,Yes,88,Intermediate,Yes,Yes
169,79,73,tier3,BTech,IT,72,No,No,0,Advanced,Yes,No
170,66,86,tier2,BTech,CSE,93,Yes,Yes,100,Intermediate,Yes,Yes
171,74,55,tier3,BTech,DS&AI,93,No,Yes,97,Intermediate,No,No
172,89,61,tier3,BTech,CSE,65,Yes,No,0,Intermediate,No,No
173,94,94,tier1,B.E,ECE,84,Yes,Yes,36,Intermediate,No,No
174,80,88,tier2,B.E,IT,61,Ongoing,No,0,Advanced,No,No
175,68,93,tier1,B.E,DS&AI,75,Yes,No,0,Intermediate,Yes,No
176,93,86,tier2,BTech,EEE,85,Yes,Yes,50,Advanced,Yes,No
177,89,83,tier2,BTech,MECH,71,No,No,0,Intermediate,Yes,No
178,74,90,tier1,B.E,EEE,86,No,Yes,49,Advanced,No,No
179,81,66,tier3,BTech,IT,93,Yes,Yes,88,Intermediate,No,No
180,71,76,tier3,B.E,ECE,78,Yes,Yes,92,Intermediate,No,No
181,70,63,tier3,BTech,CIVIL,87,Ongoing,Yes,70,Novice,No,No
182,74,72,tier3,B.E,DS&AI,88,No,Yes,65,Novice,Yes,No
183,82,81,tier2,B.E,EEE,88,Ongoing,Yes,52,Intermediate,No,No
184,77,73,tier3,BTech,EEE,62,No,No,0,Intermediate,Yes,No
185,83,58,tier3,B.E,IT,78,Yes,Yes,46,Advanced,Yes,No
186,66,61,tier3,B.E,IT,64,No,No,0,Advanced,Yes,No
187,86,96,tier1,B.E,CSE,77,Yes,Yes,78,Novice,No,No
188,85,77,tier3,BTech,MECH,94,Yes,Yes,81,Advanced,Yes,No
189,91,87,tier2,B.E,MECH,62,Yes,No,0,Intermediate,No,No
190,70,72,tier3,B.E,MECH,86,Yes,Yes,64,Novice,No,No
191,78,85,tier2,BTech,CIVIL,70,Yes,No,0,Advanced,No,No
192,80,55,tier3,BTech,EEE,66,Ongoing,No,0,Novice,No,No
193,73,90,tier1,B.E,MECH,93,Ongoing,Yes,61,Novice,No,No
194,85,59,tier3,B.E,CIVIL,89,Ongoing,Yes,61,Advanced,No,No
195,94,84,tier2,B.E,IT,78,Ongoing,Yes,64,Intermediate,No,No
196,98,57,tier3,B.E,CSE,86,Ongoing,Yes,81,Advanced,Yes,No
197,97,95,tier1,B.E,DS&AI,84,No,Yes,99,Novice,Yes,No
198,92,87,tier2,BTech,CSE,89,No,Yes,52,Novice,No,No
199,80,82,tier2,BTech,MECH,85,Ongoing,Yes,66,Intermediate,No,No
200,79,62,tier3,BTech,CIVIL,61,Ongoing,No,0,Advanced,Yes,No
201,77,86,tier2,BTech,DS&AI,91,No,Yes,50,Novice,Yes,No
202,98,82,tier2,BTech,EEE,89,No,Yes,59,Advanced,Yes,No
203,80,70,tier3,BTech,DS&AI,65,Ongoing,No,0,Novice,No,No
204,70,70,tier3,BTech,CSE,62,No,No,0,Intermediate,No,No
205,74,72,tier3,B.E,MECH,70,No,No,0,Intermediate,Yes,No
206,91,67,tier3,B.E,CIVIL,78,Ongoing,Yes,69,Novice,No,No
207,70,66,tier3,B.E,CIVIL,77,Yes,Yes,90,Advanced,Yes,Yes
208,78,70,tier3,B.E,CSE,94,Yes,Yes,98,Novice,Yes,No
209,75,90,tier1,BTech,ECE,75,No,No,0,Novice,No,No
210,77,90,tier1,BTech,CIVIL,83,Ongoing,Yes,42,Intermediate,No,No
211,94,93,tier1,BTech,ECE,95,No,Yes,38,Novice,No,No
212,97,92,tier1,BTech,CIVIL,88,Ongoing,Yes,53,Advanced,No,No
213,94,79,tier3,B.E,EEE,83,Yes,Yes,83,Advanced,No,No
214,81,64,tier3,B.E,EEE,83,No,Yes,81,Advanced,No,No
215,97,61,tier3,B.E,CSE,92,Ongoing,Yes,65,Intermediate,No,No
216,81,66,tier3,BTech,CIVIL,80,Yes,Yes,77,Intermediate,No,No
217,85,94,tier1,BTech,CSE,60,Ongoing,No,0,Intermediate,Yes,No
218,87,76,tier3,B.E,DS&AI,82,Ongoing,Yes,46,Advanced,No,No
219,95,76,tier3,B.E,CSE,67,Ongoing,No,0,Advanced,No,No
220,95,70,tier3,BTech,CIVIL,84,Ongoing,Yes,83,Intermediate,No,No
221,82,81,tier2,B.E,MECH,76,Yes,Yes,73,Advanced,No,No
222,85,78,tier3,B.E,CSE,95,Ongoing,Yes,80,Advanced,Yes,No
223,90,61,tier3,B.E,MECH,71,No,No,0,Intermediate,Yes,No
224,66,59,tier3,BTech,CIVIL,95,Ongoing,Yes,50,Novice,No,No
225,89,95,tier1,BTech,ECE,63,Ongoing,No,0,Intermediate,Yes,No
226,92,66,tier3,B.E,DS&AI,60,Yes,No,0,Novice,No,No
227,97,70,tier3,BTech,CSE,88,Ongoing,Yes,94,Intermediate,No,No
228,72,57,tier3,BTech,DS&AI,75,Ongoing,No,0,Advanced,Yes,No
229,84,56,tier3,BTech,MECH,78,Ongoing,Yes,56,Intermediate,Yes,No
230,86,60,tier3,BTech,IT,77,Yes,Yes,67,Advanced,Yes,No
231,66,74,tier3,B.E,CIVIL,71,No,No,0,Novice,Yes,No
232,97,59,tier3,B.E,CIVIL,94,Yes,Yes,53,Intermediate,Yes,No
233,83,73,tier3,B.E,CSE,71,Yes,No,0,Novice,No,No
234,82,76,tier3,B.E,DS&AI,62,Ongoing,No,0,Intermediate,No,No
235,76,62,tier3,BTech,CSE,62,Ongoing,No,0,Intermediate,Yes,No
236,90,72,tier3,BTech,DS&AI,74,Yes,No,0,Novice,Yes,No
237,78,94,tier1,B.E,MECH,85,Ongoing,Yes,39,Intermediate,Yes,No
238,93,67,tier3,B.E,IT,63,Ongoing,No,0,Novice,No,No
239,75,96,tier1,BTech,IT,73,Yes,No,0,Intermediate,Yes,No
240,76,75,tier3,BTech,CIVIL,70,Ongoing,No,0,Intermediate,Yes,No
241,84,80,tier2,B.E,MECH,74,Yes,No,0,Advanced,Yes,No
242,92,89,tier2,B.E,CSE,87,Yes,Yes,77,Novice,No,No
243,93,57,tier3,B.E,CIVIL,70,Yes,No,0,Advanced,Yes,No
244,93,61,tier3,B.E,MECH,60,Yes,No,0,Advanced,No,No
245,66,57,tier3,BTech,DS&AI,87,No,Yes,38,Novice,No,No
246,97,90,tier1,B.E,MECH,92,No,Yes,100,Advanced,No,No
247,91,92,tier1,BTech,ECE,67,Ongoing,No,0,Novice,No,No
248,95,72,tier3,B.E,CSE,90,Yes,Yes,79,Intermediate,Yes,No
249,86,77,tier3,BTech,EEE,94,No,Yes,79,Novice,No,No
250,78,72,tier3,B.E,ECE,93,Ongoing,Yes,79,Intermediate,Yes,No
251,83,61,tier3,B.E,CSE,77,No,Yes,85,Novice,No,No
252,86,80,tier2,B.E,CSE,78,Yes,Yes,82,Advanced,Yes,No
253,73,57,tier3,BTech,DS&AI,64,No,No,0,Intermediate,No,No
254,76,68,tier3,B.E,IT,63,Yes,No,0,Advanced,No,No
255,81,68,tier3,BTech,CIVIL,66,Yes,No,0,Advanced,No,No
256,82,76,tier3,B.E,IT,81,Yes,Yes,49,Novice,No,No
257,67,89,tier2,B.E,DS&AI,67,Ongoing,No,0,Advanced,Yes,No
258,90,88,tier2,BTech,CIVIL,77,Ongoing,Yes,78,Intermediate,Yes,No
259,95,57,tier3,BTech,MECH,65,Yes,No,0,Intermediate,Yes,No
260,95,89,tier2,BTech,MECH,80,Yes,Yes,65,Novice,No,No
261,72,57,tier3,B.E,DS&AI,72,No,No,0,Advanced,Yes,No
262,72,75,tier3,BTech,CSE,89,No,Yes,93,Advanced,Yes,No
263,70,95,tier1,BTech,DS&AI,90,Ongoing,Yes,49,Advanced,No,No
264,97,56,tier3,BTech,CSE,69,Yes,No,0,Advanced,Yes,No
265,93,65,tier3,BTech,CIVIL,95,No,Yes,85,Intermediate,No,No
266,96,80,tier2,BTech,CSE,63,Yes,No,0,Intermediate,No,No
267,67,74,tier3,B.E,DS&AI,94,Yes,Yes,57,Advanced,No,No
268,78,90,tier1,BTech,MECH,69,No,No,0,Novice,Yes,No
269,94,56,tier3,BTech,ECE,92,Yes,Yes,96,Advanced,No,No
270,92,76,tier3,B.E,EEE,85,Yes,Yes,97,Intermediate,Yes,Yes
271,88,89,tier2,BTech,IT,80,Ongoing,Yes,57,Novice,No,No
272,68,78,tier3,B.E,CSE,94,No,Yes,40,Novice,Yes,No
273,92,87,tier2,BTech,CIVIL,73,Ongoing,No,0,Intermediate,No,No
274,74,74,tier3,BTech,IT,70,Yes,No,0,Novice,No,No
275,94,58,tier3,BTech,DS&AI,72,No,No,0,Advanced,Yes,No
276,86,56,tier3,BTech,CIVIL,70,Yes,No,0,Advanced,No,No
277,98,83,tier2,BTech,ECE,65,Ongoing,No,0,Novice,Yes,No
278,95,78,tier3,BTech,EEE,75,Yes,No,0,Intermediate,No,No
279,71,64,tier3,BTech,DS&AI,74,No,No,0,Advanced,Yes,No
280,80,56,tier3,BTech,ECE,80,No,Yes,79,Advanced,No,No
281,67,85,tier2,BTech,CSE,91,No,Yes,88,Intermediate,Yes,No
282,88,63,tier3,BTech,CSE,77,No,Yes,98,Intermediate,Yes,No
283,90,78,tier3,BTech,CIVIL,89,Yes,Yes,58,Novice,No,No
284,94,69,tier3,BTech,ECE,66,Yes,No,0,Novice,No,No
285,74,57,tier3,BTech,IT,94,Yes,Yes,96,Novice,No,No
286,94,68,tier3,B.E,MECH,91,Yes,Yes,57,Advanced,No,No
287,75,66,tier3,BTech,CIVIL,89,No,Yes,85,Novice,No,No
288,69,77,tier3,BTech,DS&AI,95,Yes,Yes,56,Advanced,No,No
289,66,87,tier2,B.E,EEE,95,Ongoing,Yes,44,Novice,Yes,No
290,77,91,tier1,BTech,DS&AI,76,Yes,Yes,61,Novice,Yes,No
291,66,56,tier3,B.E,CIVIL,65,Yes,No,0,Novice,No,No
292,70,67,tier3,B.E,ECE,62,Yes,No,0,Advanced,Yes,No
293,72,88,tier2,B.E,IT,63,Ongoing,No,0,Novice,No,No
294,83,57,tier3,BTech,CSE,73,Yes,No,0,Intermediate,No,No
295,96,96,tier1,B.E,DS&AI,76,No,Yes,39,Advanced,No,No
296,72,82,tier2,BTech,CSE,64,No,No,0,Novice,No,No
297,71,76,tier3,B.E,EEE,62,No,No,0,Novice,No,No
298,77,68,tier3,BTech,CSE,73,Ongoing,No,0,Intermediate,No,No
299,79,66,tier3,BTech,IT,90,Yes,Yes,100,Advanced,Yes,Yes
300,69,71,tier3,B.E,DS&AI,83,No,Yes,60,Novice,Yes,No
301,81,86,tier2,BTech,EEE,88,Ongoing,Yes,62,Advanced,Yes,No
302,67,59,tier3,B.E,DS&AI,84,No,Yes,65,Intermediate,Yes,No
303,80,88,tier2,BTech,MECH,67,Yes,No,0,Advanced,Yes,No
304,96,59,tier3,B.E,EEE,87,Yes,Yes,46,Intermediate,Yes,No
305,66,68,tier3,BTech,EEE,83,Ongoing,Yes,74,Intermediate,Yes,No
306,76,64,tier3,B.E,CIVIL,62,Ongoing,No,0,Novice,Yes,No
307,89,91,tier1,BTech,IT,86,No,Yes,93,Advanced,Yes,No
308,86,86,tier2,B.E,ECE,82,No,Yes,97,Novice,Yes,No
309,66,88,tier2,B.E,CSE,82,No,Yes,51,Advanced,Yes,No
310,97,83,tier2,BTech,IT,61,Ongoing,No,0,Intermediate,Yes,No
311,90,78,tier3,B.E,IT,85,Yes,Yes,49,Novice,No,No
312,91,68,tier3,BTech,MECH,73,Yes,No,0,Advanced,No,No
313,66,59,tier3,B.E,DS&AI,94,No,Yes,80,Advanced,No,No
314,88,95,tier1,B.E,IT,87,Ongoing,Yes,63,Novice,Yes,No
315,83,90,tier1,B.E,CIVIL,72,Yes,No,0,Intermediate,Yes,No
316,94,58,tier3,BTech,EEE,66,No,No,0,Advanced,No,No
317,72,79,tier3,B.E,IT,84,No,Yes,52,Novice,Yes,No
318,89,83,tier2,B.E,IT,90,No,Yes,74,Intermediate,No,No
319,92,84,tier2,BTech,IT,70,Yes,No,0,Novice,No,No
320,94,73,tier3,B.E,EEE,68,Yes,No,0,Novice,No,No
321,79,90,tier1,B.E,MECH,85,No,Yes,63,Intermediate,Yes,No
322,74,87,tier2,B.E,IT,87,No,Yes,47,Advanced,Yes,No
323,76,74,tier3,BTech,EEE,82,No,Yes,56,Advanced,No,No
324,96,62,tier3,BTech,DS&AI,88,Ongoing,Yes,74,Intermediate,Yes,No
325,80,72,tier3,BTech,ECE,95,Yes,Yes,44,Intermediate,Yes,No
326,92,58,tier3,BTech,ECE,89,Yes,Yes,76,Intermediate,Yes,No
327,66,76,tier3,B.E,MECH,70,Yes,No,0,Advanced,No,No
328,83,86,tier2,BTech,EEE,69,Yes,No,0,Intermediate,No,No
329,71,67,tier3,B.E,CIVIL,85,Yes,Yes,38,Novice,Yes,No
330,76,89,tier2,BTech,ECE,69,Ongoing,No,0,Intermediate,No,No
331,75,73,tier3,BTech,ECE,86,Ongoing,Yes,87,Advanced,No,No
332,70,76,tier3,BTech,EEE,64,Yes,No,0,Intermediate,Yes,No
333,87,73,tier3,B.E,CSE,70,Yes,No,0,Intermediate,Yes,No
334,74,71,tier3,B.E,DS&AI,70,No,No,0,Novice,No,No
335,94,83,tier2,B.E,IT,60,Yes,No,0,Novice,No,No
336,88,92,tier1,BTech,DS&AI,83,Ongoing,Yes,54,Intermediate,Yes,No
337,94,65,tier3,BTech,CIVIL,79,No,Yes,90,Novice,No,No
338,68,68,tier3,BTech,IT,69,Ongoing,No,0,Intermediate,No,No
339,78,76,tier3,BTech,CIVIL,87,No,Yes,55,Intermediate,Yes,No
340,76,89,tier2,B.E,MECH,62,Yes,No,0,Intermediate,No,No
341,68,94,tier1,B.E,CSE,95,Ongoing,Yes,37,Intermediate,Yes,No
342,78,83,tier2,BTech,CSE,82,Yes,Yes,40,Intermediate,Yes,No
343,92,70,tier3,B.E,CSE,68,Ongoing,No,0,Advanced,Yes,No
344,91,95,tier1,BTech,EEE,63,Ongoing,No,0,Novice,Yes,No
345,83,88,tier2,B.E,EEE,86,No,Yes,83,Novice,Yes,No
346,83,90,tier1,B.E,IT,92,Ongoing,Yes,91,Advanced,Yes,Yes
347,84,58,tier3,B.E,ECE,87,Ongoing,Yes,46,Advanced,No,No
348,93,84,tier2,B.E,MECH,95,Ongoing,Yes,75,Novice,Yes,No
