No,Tenth_Percentage,Twelfth_Percentage,College_Tier,Degree,Subjects,UG_Percentage,Internship,Shortlisted_for_Interview,Aptitude_Perc,DS_Alg_Knowledge,Projects,Placed_IT
49.0,67,70,tier3,B.E,IT,72,Ongoing,No,0,Advanced,No,No
50.0,90,96,tier1,BTech,DS&AI,69,Yes,No,0,Advanced,Yes,No
51.0,66,59,tier3,B.E,CIVIL,63,No,No,0,Novice,No,No
52.0,87,70,tier3,B.E,IT,73,No,No,0,Advanced,Yes,No
53.0,89,59,tier3,BTech,CIVIL,87,Yes,Yes,41,Intermediate,Yes,No
54.0,83,56,tier3,B.E,CSE,85,Yes,Yes,93,Novice,No,No
55.0,92,57,tier3,B.E,CIVIL,69,No,No,0,Advanced,Yes,No
56.0,72,82,tier2,B.E,DS&AI,69,No,No,0,Novice,No,No
57.0,68,73,tier3,B.E,CIVIL,84,No,Yes,67,Advanced,No,No
58.0,87,57,tier3,BTech,MECH,84,Yes,Yes,84,Novice,No,No
59.0,77,75,tier3,B.E,ECE,71,Ongoing,No,0,Intermediate,No,No
60.0,74,61,tier3,BTech,MECH,95,Ongoing,Yes,56,Intermediate,Yes,No
61.0,85,87,tier2,BTech,CIVIL,81,Yes,Yes,61,Intermediate,No,No
62.0,93,88,tier2,BTech,ECE,85,Ongoing,Yes,88,Intermediate,Yes,Yes
63.0,72,63,tier3,B.E,CSE,76,No,Yes,93,Advanced,Yes,No
64.0,89,77,tier3,B.E,IT,81,No,Yes,46,Intermediate,Yes,No
65.0,81,73,tier3,BTech,MECH,76,No,Yes,93,Intermediate,Yes,No
66.0,70,84,tier2,BTech,MECH,91,Yes,Yes,55,Advanced,No,No
67.0,78,71,tier3,B.E,DS&AI,85,Yes,Yes,76,Intermediate,No,No
68.0,83,77,tier3,BTech,EEE,71,Ongoing,No,0,Intermediate,Yes,No
69.0,86,61,tier3,BTech,CIVIL,90,Yes,Yes,47,Advanced,No,No
70.0,90,75,tier3,B.E,EEE,61,No,No,0,Novice,Yes,No
71.0,69,83,tier2,B.E,ECE,94,No,Yes,58,Intermediate,Yes,No
72.0,81,96,tier1,B.E,CSE,76,Ongoing,Yes,45,Advanced,No,No
73.0,88,63,tier3,BTech,IT,67,Yes,No,0,Novice,Yes,No
74.0,70,94,tier1,B.E,DS&AI,70,No,No,0,Novice,Yes,No
75.0,78,81,tier2,B.E,CSE,62,Yes,No,0,Advanced,Yes,No
76.0,77,58,tier3,BTech,IT,69,Yes,No,0,Novice,Yes,No
77.0,79,87,tier2,B.E,ECE,86,Ongoing,Yes,41,Novice,No,No
78.0,87,88,tier2,BTech,IT,85,No,Yes,99,Novice,Yes,No
79.0,83,62,tier3,B.E,EEE,71,Ongoing,No,0,Novice,Yes,No
80.0,75,74,tier3,BTech,IT,62,Yes,No,0,Advanced,No,No
81.0,93,67,tier3,B.E,IT,68,Ongoing,No,0,Intermediate,Yes,No
82.0,82,78,tier3,BTech,EEE,77,Ongoing,Yes,68,Advanced,No,No
83.0,66,67,tier3,BTech,DS&AI,71,Ongoing,No,0,Intermediate,No,No
84.0,72,60,tier3,BTech,CSE,71,No,No,0,Intermediate,Yes,No
85.0,81,75,tier3,BTech,DS&AI,63,Yes,No,0,Intermediate,Yes,No
86.0,83,69,tier3,BTech,CSE,95,No,Yes,39,Intermediate,No,No
87.0,89,70,tier3,BTech,MECH,66,Yes,No,0,Novice,No,No
88.0,84,76,tier3,B.E,ECE,81,Yes,Yes,64,Advanced,Yes,No
89.0,94,77,tier3,BTech,CIVIL,61,No,No,0,Novice,No,No
90.0,79,83,tier2,B.E,EEE,74,Ongoing,No,0,Advanced,No,No
91.0,67,88,tier2,BTech,IT,85,Ongoing,Yes,78,Intermediate,Yes,No
92.0,86,63,tier3,B.E,DS&AI,70,Yes,No,0,Advanced,No,No
93.0,93,62,tier3,B.E,CIVIL,68,No,No,0,Novice,No,No
94.0,75,81,tier2,BTech,EEE,64,Ongoing,No,0,Intermediate,Yes,No
95.0,95,69,tier3,BTech,IT,70,Ongoing,No,0,Intermediate,Yes,No
96.0,85,81,tier2,BTech,ECE,86,No,Yes,62,Novice,No,No
97.0,96,61,tier3,B.E,ECE,80,No,Yes,65,Novice,No,No
98.0,92,95,tier1,B.E,CSE,62,No,No,0,Advanced,Yes,No
99.0,74,93,tier1,B.E,MECH,62,No,No,0,Intermediate,Yes,No
100.0,78,96,tier1,BTech,IT,92,No,Yes,95,Advanced,Yes,No
101.0,67,94,tier1,B.E,IT,81,Ongoing,Yes,36,Intermediate,Yes,No
102.0,71,57,tier3,B.E,DS&AI,85,Yes,Yes,37,Intermediate,No,No
103.0,86,72,tier3,B.E,EEE,94,Ongoing,Yes,76,Intermediate,Yes,No
104.0,81,68,tier3,BTech,ECE,65,Ongoing,No,0,Intermediate,No,No
105.0,72,88,tier2,BTech,ECE,76,Yes,Yes,82,Advanced,No,No
106.0,82,58,tier3,BTech,ECE,94,No,Yes,58,Advanced,No,No
107.0,93,62,tier3,B.E,IT,89,Ongoing,Yes,81,Intermediate,Yes,No
108.0,81,84,tier2,B.E,MECH,79,No,Yes,57,Intermediate,Yes,No
109.0,88,87,tier2,BTech,EEE,93,Yes,Yes,57,Novice,Yes,No
110.0,69,71,tier3,BTech,MECH,62,No,No,0,Intermediate,Yes,No
111.0,97,92,tier1,B.E,MECH,70,Yes,No,0,Advanced,Yes,No
112.0,90,62,tier3,B.E,IT,61,Yes,No,0,Advanced,Yes,No
113.0,95,83,tier2,B.E,CSE,83,No,Yes,93,Intermediate,No,No
114.0,82,79,tier3,B.E,ECE,81,Ongoing,Yes,67,Novice,Yes,No
115.0,67,81,tier2,B.E,EEE,95,Yes,Yes,87,Novice,No,No
116.0,74,66,tier3,B.E,DS&AI,71,Yes,No,0,Novice,Yes,No
117.0,74,78,tier3,B.E,EEE,66,Yes,No,0,Novice,No,No
118.0,90,96,tier1,BTech,CIVIL,81,No,Yes,45,Intermediate,No,No
119.0,82,74,tier3,BTech,CIVIL,91,No,Yes,45,Intermediate,Yes,No
120.0,74,85,tier2,BTech,IT,70,Yes,No,0,Advanced,No,No
121.0,92,81,tier2,BTech,EEE,66,No,No,0,Advanced,Yes,No
122.0,90,64,tier3,BTech,CSE,80,Ongoing,Yes,56,Novice,Yes,No
123.0,69,83,tier2,BTech,IT,86,Yes,Yes,55,Novice,No,No
124.0,86,87,tier2,B.E,DS&AI,76,Yes,Yes,86,Intermediate,Yes,Yes
125.0,92,96,tier1,B.E,MECH,85,No,Yes,73,Intermediate,No,No
126.0,73,71,tier3,B.E,MECH,92,No,Yes,45,Novice,No,No
127.0,93,92,tier1,BTech,CIVIL,72,No,No,0,Novice,Yes,No
128.0,94,73,tier3,BTech,MECH,71,No,No,0,Intermediate,No,No
129.0,83,63,tier3,BTech,CIVIL,78,Ongoing,Yes,85,Intermediate,No,No
130.0,85,73,tier3,B.E,CSE,89,Ongoing,Yes,87,Novice,Yes,No
131.0,73,83,tier2,B.E,MECH,64,Yes,No,0,Intermediate,Yes,No
132.0,67,55,tier3,B.E,IT,95,Yes,Yes,79,Intermediate,Yes,No
133.0,72,73,tier3,B.E,MECH,75,Ongoing,No,0,Intermediate,No,No
134.0,73,71,tier3,BTech,CIVIL,67,Yes,No,0,Advanced,Yes,No
135.0,68,86,tier2,B.E,EEE,82,No,Yes,66,Advanced,No,No
136.0,91,57,tier3,BTech,ECE,74,Ongoing,No,0,Advanced,Yes,No
137.0,98,82,tier2,BTech,ECE,61,Yes,No,0,Advanced,Yes,No
138.0,76,73,tier3,B.E,CIVIL,80,Ongoing,Yes,49,Advanced,Yes,No
139.0,68,65,tier3,B.E,MECH,85,Ongoing,Yes,92,Intermediate,Yes,Yes
140.0,80,62,tier3,B.E,MECH,75,Ongoing,No,0,Advanced,Yes,No
141.0,78,80,tier2,B.E,ECE,66,Yes,No,0,Novice,Yes,No
142.0,98,91,tier1,BTech,MECH,74,Yes,No,0,Advanced,No,No
143.0,70,73,tier3,B.E,MECH,93,Yes,Yes,55,Advanced,No,No
144.0,87,68,tier3,BTech,EEE,60,No,No,0,Novice,Yes,No
145.0,95,84,tier2,BTech,EEE,92,No,Yes,86,Advanced,Yes,No
146.0,81,68,tier3,BTech,DS&AI,62,No,No,0,Novice,Yes,No
147.0,70,84,tier2,B.E,IT,80,Ongoing,Yes,40,Advanced,No,No
148.0,85,58,tier3,B.E,DS&AI,88,Ongoing,Yes,38,Advanced,Yes,No
149.0,80,86,tier2,B.E,CIVIL,86,Ongoing,Yes,53,Advanced,No,No
150.0,66,72,tier3,B.E,CSE,78,No,Yes,42,Intermediate,No,No
151.0,83,55,tier3,BTech,DS&AI,90,Yes,Yes,52,Novice,No,No
152.0,98,75,tier3,B.E,IT,85,Yes,Yes,80,Novice,No,No
153.0,98,73,tier3,B.E,CSE,83,Yes,Yes,51,Novice,No,No
154.0,82,89,tier2,BTech,CIVIL,95,No,Yes,85,Novice,Yes,No
155.0,77,60,tier3,B.E,ECE,93,Ongoing,Yes,87,Novice,Yes,No
156.0,91,69,tier3,BTech,CIVIL,82,No,Yes,35,Intermediate,No,No
157.0,66,61,tier3,B.E,MECH,78,No,Yes,96,Intermediate,No,No
158.0,91,90,tier1,BTech,CIVIL,84,Yes,Yes,42,Advanced,Yes,No
159.0,68,91,tier1,B.E,CIVIL,88,Yes,Yes,99,Novice,No,No
160.0,75,69,tier3,BTech,MECH,70,Ongoing,No,0,Advanced,Yes,No
161.0,92,74,tier3,BTech,DS&AI,89,No,Yes,50,Novice,No,No
162.0,71,55,tier3,B.E,DS&AI,63,Yes,No,0,Intermediate,Yes,No
163.0,88,80,tier2,BTech,IT,65,Yes,No,0,Advanced,No,No
164.0,66,69,tier3,B.E,EEE,62,No,No,0,Advanced,Yes,No
165.0,79,64,tier3,BTech,CSE,74,Yes,No,0,Advanced,No,No
166.0,83,82,tier2,BTech,MECH,92,No,Yes,42,Advanced,Yes,No
167.0,95,70,tier3,B.E,MECH,72,Ongoing,No,0,Advanced,No,No
168.0,90,88,tier2,B.E,DS&AI,81,Yes,Yes,88,Intermediate,Yes,Yes
169.0,79,73,tier3,BTech,IT,72,No,No,0,Advanced,Yes,No
170.0,66,86,tier2,BTech,CSE,93,Yes,Yes,100,Intermediate,Yes,Yes
171.0,74,55,tier3,BTech,DS&AI,93,No,Yes,97,Intermediate,No,No
172.0,89,61,tier3,BTech,CSE,65,Yes,No,0,Intermediate,No,No
173.0,94,94,tier1,B.E,ECE,84,Yes,Yes,36,Intermediate,No,No
174.0,80,88,tier2,B.E,IT,61,Ongoing,No,0,Advanced,No,No
175.0,68,93,tier1,B.E,DS&AI,75,Yes,No,0,Intermediate,Yes,No
176.0,93,86,tier2,BTech,EEE,85,Yes,Yes,50,Advanced,Yes,No
177.0,89,83,tier2,BTech,MECH,71,No,No,0,Intermediate,Yes,No
178.0,74,90,tier1,B.E,EEE,86,No,Yes,49,Advanced,No,No
179.0,81,66,tier3,BTech,IT,93,Yes,Yes,88,Intermediate,No,No
180.0,71,76,tier3,B.E,ECE,78,Yes,Yes,92,Intermediate,No,No
181.0,70,63,tier3,BTech,CIVIL,87,Ongoing,Yes,70,Novice,No,No
182.0,74,72,tier3,B.E,DS&AI,88,No,Yes,65,Novice,Yes,No
183.0,82,81,tier2,B.E,EEE,88,Ongoing,Yes,52,Intermediate,No,No
184.0,77,73,tier3,BTech,EEE,62,No,No,0,Intermediate,Yes,No
185.0,83,58,tier3,B.E,IT,78,Yes,Yes,46,Advanced,Yes,No
186.0,66,61,tier3,B.E,IT,64,No,No,0,Advanced,Yes,No
187.0,86,96,tier1,B.E,CSE,77,Yes,Yes,78,Novice,No,No
188.0,85,77,tier3,BTech,MECH,94,Yes,Yes,81,Advanced,Yes,No
189.0,91,87,tier2,B.E,MECH,62,Yes,No,0,Intermediate,No,No
190.0,70,72,tier3,B.E,MECH,86,Yes,Yes,64,Novice,No,No
191.0,78,85,tier2,BTech,CIVIL,70,Yes,No,0,Advanced,No,No
192.0,80,55,tier3,BTech,EEE,66,Ongoing,No,0,Novice,No,No
193.0,73,90,tier1,B.E,MECH,93,Ongoing,Yes,61,Novice,No,No
194.0,85,59,tier3,B.E,CIVIL,89,Ongoing,Yes,61,Advanced,No,No
195.0,94,84,tier2,B.E,IT,78,Ongoing,Yes,64,Intermediate,No,No
196.0,98,57,tier3,B.E,CSE,86,Ongoing,Yes,81,Advanced,Yes,No
197.0,97,95,tier1,B.E,DS&AI,84,No,Yes,99,Novice,Yes,No
198.0,92,87,tier2,BTech,CSE,89,No,Yes,52,Novice,No,No
199.0,80,82,tier2,BTech,MECH,85,Ongoing,Yes,66,Intermediate,No,No
200.0,79,62,tier3,BTech,CIVIL,61,Ongoing,No,0,Advanced,Yes,No
201.0,77,86,tier2,BTech,DS&AI,91,No,Yes,50,Novice,Yes,No
202.0,98,82,tier2,BTech,EEE,89,No,Yes,59,Advanced,Yes,No
203.0,80,70,tier3,BTech,DS&AI,65,Ongoing,No,0,Novice,No,No
204.0,70,70,tier3,BTech,CSE,62,No,No,0,Intermediate,No,No
205.0,74,72,tier3,B.E,MECH,70,No,No,0,Intermediate,Yes,No
206.0,91,67,tier3,B.E,CIVIL,78,Ongoing,Yes,69,Novice,No,No
207.0,70,66,tier3,B.E,CIVIL,77,Yes,Yes,90,Advanced,Yes,Yes
208.0,78,70,tier3,B.E,CSE,94,Yes,Yes,98,Novice,Yes,No
209.0,75,90,tier1,BTech,ECE,75,No,No,0,Novice,No,No
210.0,77,90,tier1,BTech,CIVIL,83,Ongoing,Yes,42,Intermediate,No,No
211.0,94,93,tier1,BTech,ECE,95,No,Yes,38,Novice,No,No
212.0,97,92,tier1,BTech,CIVIL,88,Ongoing,Yes,53,Advanced,No,No
213.0,94,79,tier3,B.E,EEE,83,Yes,Yes,83,Advanced,No,No
214.0,81,64,tier3,B.E,EEE,83,No,Yes,81,Advanced,No,No
215.0,97,61,tier3,B.E,CSE,92,Ongoing,Yes,65,Intermediate,No,No
216.0,81,66,tier3,BTech,CIVIL,80,Yes,Yes,77,Intermediate,No,No
217.0,85,94,tier1,BTech,CSE,60,Ongoing,No,0,Intermediate,Yes,No
218.0,87,76,tier3,B.E,DS&AI,82,Ongoing,Yes,46,Advanced,No,No
219.0,95,76,tier3,B.E,CSE,67,Ongoing,No,0,Advanced,No,No
220.0,95,70,tier3,BTech,CIVIL,84,Ongoing,Yes,83,Intermediate,No,No
221.0,82,81,tier2,B.E,MECH,76,Yes,Yes,73,Advanced,No,No
222.0,85,78,tier3,B.E,CSE,95,Ongoing,Yes,80,Advanced,Yes,No
223.0,90,61,tier3,B.E,MECH,71,No,No,0,Intermediate,Yes,No
224.0,66,59,tier3,BTech,CIVIL,95,Ongoing,Yes,50,Novice,No,No
225.0,89,95,tier1,BTech,ECE,63,Ongoing,No,0,Intermediate,Yes,No
226.0,92,66,tier3,B.E,DS&AI,60,Yes,No,0,Novice,No,No
227.0,97,70,tier3,BTech,CSE,88,Ongoing,Yes,94,Intermediate,No,No
228.0,72,57,tier3,BTech,DS&AI,75,Ongoing,No,0,Advanced,Yes,No
229.0,84,56,tier3,BTech,MECH,78,Ongoing,Yes,56,Intermediate,Yes,No
230.0,86,60,tier3,BTech,IT,77,Yes,Yes,67,Advanced,Yes,No
231.0,66,74,tier3,B.E,CIVIL,71,No,No,0,Novice,Yes,No
232.0,97,59,tier3,B.E,CIVIL,94,Yes,Yes,53,Intermediate,Yes,No
233.0,83,73,tier3,B.E,CSE,71,Yes,No,0,Novice,No,No
234.0,82,76,tier3,B.E,DS&AI,62,Ongoing,No,0,Intermediate,No,No
235.0,76,62,tier3,BTech,CSE,62,Ongoing,No,0,Intermediate,Yes,No
236.0,90,72,tier3,BTech,DS&AI,74,Yes,No,0,Novice,Yes,No
237.0,78,94,tier1,B.E,MECH,85,Ongoing,Yes,39,Intermediate,Yes,No
238.0,93,67,tier3,B.E,IT,63,Ongoing,No,0,Novice,No,No
239.0,75,96,tier1,BTech,IT,73,Yes,No,0,Intermediate,Yes,No
240.0,76,75,tier3,BTech,CIVIL,70,Ongoing,No,0,Intermediate,Yes,No
241.0,84,80,tier2,B.E,MECH,74,Yes,No,0,Advanced,Yes,No
242.0,92,89,tier2,B.E,CSE,87,Yes,Yes,77,Novice,No,No
243.0,93,57,tier3,B.E,CIVIL,70,Yes,No,0,Advanced,Yes,No
244.0,93,61,tier3,B.E,MECH,60,Yes,No,0,Advanced,No,No
245.0,66,57,tier3,BTech,DS&AI,87,No,Yes,38,Novice,No,No
246.0,97,90,tier1,B.E,MECH,92,No,Yes,100,Advanced,No,No
247.0,91,92,tier1,BTech,ECE,67,Ongoing,No,0,Novice,No,No
248.0,95,72,tier3,B.E,CSE,90,Yes,Yes,79,Intermediate,Yes,No
249.0,86,77,tier3,BTech,EEE,94,No,Yes,79,Novice,No,No
250.0,78,72,tier3,B.E,ECE,93,Ongoing,Yes,79,Intermediate,Yes,No
251.0,83,61,tier3,B.E,CSE,77,No,Yes,85,Novice,No,No
252.0,86,80,tier2,B.E,CSE,78,Yes,Yes,82,Advanced,Yes,No
253.0,73,57,tier3,BTech,DS&AI,64,No,No,0,Intermediate,No,No
254.0,76,68,tier3,B.E,IT,63,Yes,No,0,Advanced,No,No
255.0,81,68,tier3,BTech,CIVIL,66,Yes,No,0,Advanced,No,No
256.0,82,76,tier3,B.E,IT,81,Yes,Yes,49,Novice,No,No
257.0,67,89,tier2,B.E,DS&AI,67,Ongoing,No,0,Advanced,Yes,No
258.0,90,88,tier2,BTech,CIVIL,77,Ongoing,Yes,78,Intermediate,Yes,No
259.0,95,57,tier3,BTech,MECH,65,Yes,No,0,Intermediate,Yes,No
260.0,95,89,tier2,BTech,MECH,80,Yes,Yes,65,Novice,No,No
261.0,72,57,tier3,B.E,DS&AI,72,No,No,0,Advanced,Yes,No
262.0,72,75,tier3,BTech,CSE,89,No,Yes,93,Advanced,Yes,No
263.0,70,95,tier1,BTech,DS&AI,90,Ongoing,Yes,49,Advanced,No,No
264.0,97,56,tier3,BTech,CSE,69,Yes,No,0,Advanced,Yes,No
265.0,93,65,tier3,BTech,CIVIL,95,No,Yes,85,Intermediate,No,No
266.0,96,80,tier2,BTech,CSE,63,Yes,No,0,Intermediate,No,No
267.0,67,74,tier3,B.E,DS&AI,94,Yes,Yes,57,Advanced,No,No
268.0,78,90,tier1,BTech,MECH,69,No,No,0,Novice,Yes,No
269.0,94,56,tier3,BTech,ECE,92,Yes,Yes,96,Advanced,No,No
270.0,92,76,tier3,B.E,EEE,85,Yes,Yes,97,Intermediate,Yes,Yes
271.0,88,89,tier2,BTech,IT,80,Ongoing,Yes,57,Novice,No,No
272.0,68,78,tier3,B.E,CSE,94,No,Yes,40,Novice,Yes,No
273.0,92,87,tier2,BTech,CIVIL,73,Ongoing,No,0,Intermediate,No,No
274.0,74,74,tier3,BTech,IT,70,Yes,No,0,Novice,No,No
275.0,94,58,tier3,BTech,DS&AI,72,No,No,0,Advanced,Yes,No
276.0,86,56,tier3,BTech,CIVIL,70,Yes,No,0,Advanced,No,No
277.0,98,83,tier2,BTech,ECE,65,Ongoing,No,0,Novice,Yes,No
278.0,95,78,tier3,BTech,EEE,75,Yes,No,0,Intermediate,No,No
279.0,71,64,tier3,BTech,DS&AI,74,No,No,0,Advanced,Yes,No
280.0,80,56,tier3,BTech,ECE,80,No,Yes,79,Advanced,No,No
281.0,67,85,tier2,BTech,CSE,91,No,Yes,88,Intermediate,Yes,No
282.0,88,63,tier3,BTech,CSE,77,No,Yes,98,Intermediate,Yes,No
283.0,90,78,tier3,BTech,CIVIL,89,Yes,Yes,58,Novice,No,No
284.0,94,69,tier3,BTech,ECE,66,Yes,No,0,Novice,No,No
285.0,74,57,tier3,BTech,IT,94,Yes,Yes,96,Novice,No,No
286.0,94,68,tier3,B.E,MECH,91,Yes,Yes,57,Advanced,No,No
287.0,75,66,tier3,BTech,CIVIL,89,No,Yes,85,Novice,No,No
288.0,69,77,tier3,BTech,DS&AI,95,Yes,Yes,56,Advanced,No,No
289.0,66,87,tier2,B.E,EEE,95,Ongoing,Yes,44,Novice,Yes,No
290.0,77,91,tier1,BTech,DS&AI,76,Yes,Yes,61,Novice,Yes,No
291.0,66,56,tier3,B.E,CIVIL,65,Yes,No,0,Novice,No,No
292.0,70,67,tier3,B.E,ECE,62,Yes,No,0,Advanced,Yes,No
293.0,72,88,tier2,B.E,IT,63,Ongoing,No,0,Novice,No,No
294.0,83,57,tier3,BTech,CSE,73,Yes,No,0,Intermediate,No,No
295.0,96,96,tier1,B.E,DS&AI,76,No,Yes,39,Advanced,No,No
296.0,72,82,tier2,BTech,CSE,64,No,No,0,Novice,No,No
297.0,71,76,tier3,B.E,EEE,62,No,No,0,Novice,No,No
298.0,77,68,tier3,BTech,CSE,73,Ongoing,No,0,Intermediate,No,No
299.0,79,66,tier3,BTech,IT,90,Yes,Yes,100,Advanced,Yes,Yes
300.0,69,71,tier3,B.E,DS&AI,83,No,Yes,60,Novice,Yes,No
301.0,81,86,tier2,BTech,EEE,88,Ongoing,Yes,62,Advanced,Yes,No
302.0,67,59,tier3,B.E,DS&AI,84,No,Yes,65,Intermediate,Yes,No
303.0,80,88,tier2,BTech,MECH,67,Yes,No,0,Advanced,Yes,No
304.0,96,59,tier3,B.E,EEE,87,Yes,Yes,46,Intermediate,Yes,No
305.0,66,68,tier3,BTech,EEE,83,Ongoing,Yes,74,Intermediate,Yes,No
306.0,76,64,tier3,B.E,CIVIL,62,Ongoing,No,0,Novice,Yes,No
307.0,89,91,tier1,BTech,IT,86,No,Yes,93,Advanced,Yes,No
308.0,86,86,tier2,B.E,ECE,82,No,Yes,97,Novice,Yes,No
309.0,66,88,tier2,B.E,CSE,82,No,Yes,51,Advanced,Yes,No
310.0,97,83,tier2,BTech,IT,61,Ongoing,No,0,Intermediate,Yes,No
311.0,90,78,tier3,B.E,IT,85,Yes,Yes,49,Novice,No,No
312.0,91,68,tier3,BTech,MECH,73,Yes,No,0,Advanced,No,No
313.0,66,59,tier3,B.E,DS&AI,94,No,Yes,80,Advanced,No,No
314.0,88,95,tier1,B.E,IT,87,Ongoing,Yes,63,Novice,Yes,No
315.0,83,90,tier1,B.E,CIVIL,72,Yes,No,0,Intermediate,Yes,No
316.0,94,58,tier3,BTech,EEE,66,No,No,0,Advanced,No,No
317.0,72,79,tier3,B.E,IT,84,No,Yes,52,Novice,Yes,No
318.0,89,83,tier2,B.E,IT,90,No,Yes,74,Intermediate,No,No
319.0,92,84,tier2,BTech,IT,70,Yes,No,0,Novice,No,No
320.0,94,73,tier3,B.E,EEE,68,Yes,No,0,Novice,No,No
321.0,79,90,tier1,B.E,MECH,85,No,Yes,63,Intermediate,Yes,No
322.0,74,87,tier2,B.E,IT,87,No,Yes,47,Advanced,Yes,No
323.0,76,74,tier3,BTech,EEE,82,No,Yes,56,Advanced,No,No
324.0,96,62,tier3,BTech,DS&AI,88,Ongoing,Yes,74,Intermediate,Yes,No
325.0,80,72,tier3,BTech,ECE,95,Yes,Yes,44,Intermediate,Yes,No
326.0,92,58,tier3,BTech,ECE,89,Yes,Yes,76,Intermediate,Yes,No
327.0,66,76,tier3,B.E,MECH,70,Yes,No,0,Advanced,No,No
328.0,83,86,tier2,BTech,EEE,69,Yes,No,0,Intermediate,No,No
329.0,71,67,tier3,B.E,CIVIL,85,Yes,Yes,38,Novice,Yes,No
330.0,76,89,tier2,BTech,ECE,69,Ongoing,No,0,Intermediate,No,No
331.0,75,73,tier3,BTech,ECE,86,Ongoing,Yes,87,Advanced,No,No
332.0,70,76,tier3,BTech,EEE,64,Yes,No,0,Intermediate,Yes,No
